IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.
bio jabolka zlati delišes spar natur*pur;S501;1kg;5,21 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio rdeèa jabolka spar natur*pur;S504;1kg;6,65 €;sadje;3489;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèja prsa file in stegna;S549;1kg;8,69 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèje prsi file;S552;1kg;6,60 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèje prsi brez kože;S555;800g;4,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanec za peko;S558;1kg;3,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
puranja stegna zrezek;S561;500g;4,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèji zrezki;S564;1kg;8,23 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèji mini file;S567;400g;3,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
žrebièek zrezki spar vital;S579;1kg;17,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèje prsi;S603;1kg;3,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio pišèanèji file;S675;1kg;19,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
pišèanèja stegna in kraèe;S708;1kg;3,98 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mleto meso;S711;480g;2,75 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
svinjski kare;S783;1kg;5,38 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
svinjski zrezki;S786;480g;2,64 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mleto mešano meso;S789;1kg;4,15 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
masa za èevapèièe;S792;1kg;3,49 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
svinjski kare zrezek;S795;500g;4,15 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
goveje stegno zrezek tann;S852;1kg;22,39 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio pinjanec spar natur*pur;S873;500ml;0,75 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
ledena kava macchiato s-budget;S876;250ml;0,59;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
ledena kava s-budget;S879;1l;0,99 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
vanilijev shake s-budget;S882;230ml;0,69 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
jagodni shake s-budget;S885;230ml;0,69 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kava, karamela macchiato, sturbucks;S948;220ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kava lešnik starbucks;S975;220ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kava vanilija sturbucks;S978;220ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko, 3,5%m.m., s-budget;S987;1l;0,62 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko, 3,5%m.m., s-budget;S990;1l;0,67 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko, 1,5%m.m., s-budget;S993;1l;0,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko izpod triglava, 3,5%m.m., spar premium;S996;1l;1,17 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
ledena kava cappuccino s-budget;S999;250ml;0,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
ledena kava latte machiato karamela s-budget;S1002;250ml;0,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko, 1,5%m.m., spar freen from;S1005;1l;1,17 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko, 3,5%m.m., spar freen from;S1008;1l;1,19 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže kozje mleko,2,8%m.m.;S1011;750ml;1,79 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sveže mleko, 1,5%m.m.;S1014;1l;0,62 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kava, caffe latte starbucks;S1077;220ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kava, cappucino, starbucks;S1086;220ml;1,59 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
trajno mleko, 3,5%m.m.;S1092;1l;0,77 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
trajno mleko, 1,5%m.m.;S1095;1l;0,67 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
trajno mleko s-budget, 3,5%m.m.;S1098;1l;0,65 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
trajno mleko s-budget, 1,5%m.m.;S1101;1l;0,57 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
trajno mleko s-budget, 0,5%m.m.;S1104;1l;0,53 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kefir s-budget;S1107;500g;0,83 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
tradicionalni kefir, spar premium, 3,5%m.m.;S1110;500g;1,33 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mleko spar free from, 1,5%m.m.;S1113;1l;0,89 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio sveže mleko spar natur*pur, 3,5%m.m.;S1116;1l;1,09 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
bio mleko spar natur*pur, 0,9%m.m.;S1119;1l;1,09;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kondenzirano mleko;S1122;500g;1,12 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kefir;S1125;500ml;0,94 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kondenzirano mleko nestle;S1176;170g;1,24 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
èokoladno mleko brez laktoze, minus l;S1188;250ml;0,78 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
trajno mleko brez laktoze, minus l, 3,8%m.m.;S1191;1l;1,99 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
jogurtni napitek mango spar vital;S1260;6x 100g;1,19 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kondenzirano mleko maresi;S1296;500g;1,97 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
kondenzirano mleko lahko maresi;S1299;500g;2,38 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mleèni beljakovinski napitek vanilija noem;S1302;250g;1,29 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
mleèni beljakovinski napitek èokolada noem;S1305;250g;1,29 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;11223;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44
sojin desert, èokolada,alpro;S1062;500ml;1,98 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Storck Adria d.o.o.;11227;Brdnikova ulica 44, 1000 Ljubljana;01 2443 750
sojin desert, vanilija,alpro;S1065;525g;1,99 €;mleèni izdelki;3499;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Storck Adria d.o.o.;11227;Brdnikova ulica 44, 1000 Ljubljana;01 2443 750
goveja ledja s kostjo;S765;1kg;17,59 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;11231;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00
t-bone steak porterhouse;S768;1kg;29,19 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;11231;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00
t-bone steak;S771;1kg;27,79 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;11231;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00
goveja ledja brez kosti zrezek;S777;1kg;31,99 €;meso;2874;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;TMI Košaki d.d.;11231;Oreško nabrežje 1, 2000 Maribor, Slovenija;02 235 22 00
peteršilj, korenina;S141;1kg;2,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Zelenjava Forminka d.o.o.;11239;Formin 32C, 2272 Gorišnica, Slovenija;02 743 50 26
por;S360;1kg;1,79 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Zelenjava Forminka d.o.o.;11239;Formin 32C, 2272 Gorišnica, Slovenija;02 743 50 26
sirni namaz klasik, ABC;M999;100g;0,99;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Belje d.d;11011;Svetog Ivana Krstitelja 1a, 31326 Darda, Hrvaška;385 31 790 200
sirni namaz klasik, ABC;M1005;200g;1,89;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Belje d.d;11011;Svetog Ivana Krstitelja 1a, 31326 Darda, Hrvaška;385 31 790 200
sirni namaz z drobnjakom, ABC;M1083;100g;0,99;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Belje d.d;11011;Svetog Ivana Krstitelja 1a, 31326 Darda, Hrvaška;385 31 790 200
mleèni namaz s hrenom, ABC;M1128;100g;0,99;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Belje d.d;11011;Svetog Ivana Krstitelja 1a, 31326 Darda, Hrvaška;385 31 790 200
zelena gomolj;M126;1kg;1,39 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Burgox d.o.o.;11019;Glavarjeva cesta 43, 1218 Komenda, Slovenija;01 834 10 68
èajna klobada z'dežele;M660;560g;5,79 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
salama šunkarica;M705;500g;2,59 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
narezek Kraljica mortadela;M717;150g;1,69 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
domaèa suha salama z'dežele;M723;500g;7,19 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
domaèa salama z'dežele;M744;120g;2,89 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
Kranjska klobasa z'dežele;M759;460g;5,19 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
hamburška slanina z'dežele;M852;1kg;9,19 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Celjske mesnine d.d.;11023;Cesta v Trnovlje 17, 3000 Celje, Slovenija;03 42 55 201
Kranjska klobasa;M582;230g;2,79 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Èadež d.o.o.;11027;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70
eko hrenovke;M798;270g;4,29 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Èadež d.o.o.;11027;Visoko 7g, 4212 Visoko, Slovenija;04 201 34 70
solata ledenka;M102;1kg;1,49 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Èebašek Anton, Kuhar Božidar, Kadivec Robert;11031;/;/
divji šparglji;M279;1kg;35,69 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Darsad d.o.o.;11035;Zgornja Pohanca 4, 8272 Zdole, Slovenija;07 477 85 80
èešnjev paradižnik;M240;1kg;3,96 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
kivi;M324;1kg;2,79 €;sadje;3489;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
hruške abate fetel;M471;1kg;2,49 €;sadje;3489;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;DG 69 d.o.o.;11039;Drenov Griè 69, 1360 Vrhnika, Slovenija;01 755 61 69
grški tip jogurta;M996;150g;0,89;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
grški tip jogurta jagoda;M1065;150g;0,89;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Dukat S d.o.o.;11043;Tolstojeva 63, 1000 Ljubljana, Slovenija;01 547 37 00
kislo zelje grunt;M303;1kg;2,38 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
kisla repa natureta;M309;1kg;2,49 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
kislo zelje natureta;M312;1kg;2,19 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;ETA Kamnik d.o.o.;11055;Kajuhova pot 4, 1241 Kamnik, Slovenija;01 830 84 00
kislo zelje, Euro-vrt;M315;1kg;2,19 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;EURO-VRT PTUJ D.O.O.;11059;Podvinci 79, 2250 Ptuj;(02) 780 11 90
jabolka, rdeèi delišes;M484;1kg;1,69 €;sadje;3489;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Evrosad d.o.o.;11063;Cesta 4. julija 134, 8270 Krško, Slovenija;031 681 546
šampinjoni, mešani beli in rjavi;M159;1kg;5,47 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Gojenje gob Krevh Jasna s.p.;11071;Nad izviri 26, 2204 Miklavž, Slovenija;02 629 23 17
Eko pišèanèji file;M507;1kg;28,99 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;INTER MARKETING d.o.o;11079;Dunajska cesta 103, 1000 Ljubljana;01 360 33 40
eko mleto teleèje meso;M846;1kg;17,79 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;INTER MARKETING d.o.o;11079;Dunajska cesta 103, 1000 Ljubljana;01 360 33 40
eko pišèanèja bedra;M885;1kg;13,49 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;INTER MARKETING d.o.o;11079;Dunajska cesta 103, 1000 Ljubljana;01 360 33 40
eko pišèanèje kraèe;M891;1kg;13,59 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;INTER MARKETING d.o.o;11079;Dunajska cesta 103, 1000 Ljubljana;01 360 33 40
krompir za peèenje;M45;1kg;0,96 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;IVA s.p.;11083;Nazorjeva ulica 12, 1000 Ljubljana, Slovenija;080 88 13
solatni krompir;M54;1kg;0,96 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;IVA s.p.;11083;Nazorjeva ulica 12, 1000 Ljubljana, Slovenija;080 88 13
navadni jogurt, Helcl;M1092;0,5l ;1,19;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetija Fingušt-Hecl;11095;Orehova cesta 44, 2312 Orehova vas, Slovenija;041 740 098
navadni jogurt brez laktoze, Helcl;M1098;0,5l;1,22;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetija Fingušt-Hecl;11095;Orehova cesta 44, 2312 Orehova vas, Slovenija;041 740 098
jogurt z medom in mandlji, Helcl;M1101;0,5l;2,35;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetija Fingušt-Hecl;11095;Orehova cesta 44, 2312 Orehova vas, Slovenija;041 740 098
sadni jogurt brez laktoze, Helcl;M1104;0,5l;1,99;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetija Fingušt-Hecl;11095;Orehova cesta 44, 2312 Orehova vas, Slovenija;041 740 098
sadni jogurt;M1095;250ml;1,15;mleèni izdelki;3499;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetija FLIS;11099;Spodnje Grušovlje 6, 3311 Šempeter, Slovenija;051 325 810
svinjski vrat brez kosti;M894;1kg;10,79 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetijsko gozdarska zadruga Idrija;11103;Vojkova ulica 1, 5280 Idrija;05 374 32 51
krompir Polonca;M48;1kg;0,88 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kmetijsko gozdarska zadruga Sloga;11107;Šuceva ulica 27, 4000 Kranj, Slovenija;(04) 201 49 50
delikatesni ocvirki;M762;210g;3,19 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kodila d.o.o;11116;Markišavci 44, 9000 Murska Sobota;02 522 36 00
pašteta Classic;M783;150g;2,35 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kodila d.o.o;11116;Markišavci 44, 9000 Murska Sobota;02 522 36 00
steak brez kosti;M888;1kg;36,99 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kodila d.o.o;11116;Markišavci 44, 9000 Murska Sobota;02 522 36 00
ohrovt;M291;1kg;1,19 €;zelenjava;3480;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;Kralj Stanislav, Blažun Ivan, Kralj Marta;11119;/;/
Narezek kraški pršut;M618;100g;3,99 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;KRAS d.o.o.;11123;Šepulje 31, 6210 Sežana;05 73 10 300
narezek peèen pršut;M654;100g;2,69 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;KRAS d.o.o.;11123;Šepulje 31, 6210 Sežana;05 73 10 300
Narezek mortadela;M747;100g;1,79 €;meso;2874;Mercator;15008;Dunajska cesta 110, 1000 Ljubljana, Slovenija;KRAS d.o.o.;11123;Šepulje 31, 6210 Sežana;05 73 10 300
